,tic_tess_id,tic_ra,tic_dec,tic_Tmag,bjd0,period,morph_coeff
734,69889494,338.674874727403,-19.8598096055361,7.68376,1354.5305403844134,0.5090070713967808,0.6663779000000001
741,162585265,170.341124503621,-47.6007870218855,9.3046,1571.073095627694,0.5123344098582552,0.59313345
743,38021254,67.6879702637622,-7.24106339285191,8.29936,1438.518289355262,0.5126235399964416,0.9043796
749,152592870,65.197981603036,-45.2579061129647,9.1478,1411.3571628246468,0.5138514403126042,0.6623986
750,357040925,179.90646531593,-78.2218872663971,4.9085,1597.2443599758387,0.5140398890052259,0.8118348000000001
755,443494351,146.78338222116,-54.2040081166236,8.9648,1544.7704553260642,0.515800181117807,0.7227199000000001
756,20072363,89.0261320407073,-38.2803722592516,8.6905,1438.225747125215,0.5160955456127037,0.8586235000000001
777,76698707,229.055076775076,-32.495637059359,9.9454,1600.144223653179,0.5278686364934843,0.5448503
789,266769522,29.7530092760306,-22.9197924447318,6.9502,1386.414747168305,0.5361589921344463,0.73504597
790,266769521,29.7508250210679,-22.918506386648,7.0421,1386.4153284191673,0.5361672424030113,0.7969126999999999
794,140064648,127.336686203644,-46.8935823811248,9.602,1517.5222837184288,0.5397544651764947,0.8880563
799,398673007,13.8735148766015,-11.1096942491004,9.9617,1386.1045234941178,0.5432683918133355,0.8035375
802,305536347,138.98217334087,-12.2355844109556,8.1985,1518.0156895898278,0.5452215670250359,0.63575554
807,159803421,261.645242568091,-32.9696757060161,7.4119,1628.703895771836,0.5522213012652635,0.434543
817,169316288,292.508849673958,-27.9568368839135,9.6348,1657.1577478377226,0.5591511295648992,0.6538069000000001
819,409942986,145.00979,-17.164589,8.287,1517.540530629046,0.5592580312430168,0.9674511
821,332600127,213.109243749493,-60.3976068005745,9.1168,1598.4559737745903,0.560476041653951,0.67605495
838,131239334,191.586294318761,-33.1204004514666,8.978,1571.0412724857206,0.5698002553091469,0.7289281999999999
839,358465355,119.008361674734,-60.2575073648365,9.5862,,0.5706513031257217,0.67440325
841,30382918,198.432662360437,-41.2753113971858,9.0611,1598.440118597955,0.5719607521293173,0.53623855
844,72588909,31.544532180795,-29.2260636292033,8.96062,1388.8160516048706,0.5731825374581102,0.92233336
853,275697259,200.955933989701,-45.7438571318937,9.2837,1598.6916842832916,0.5792544995156453,0.76780784
864,404460906,15.8639747016758,-12.1730638755061,9.8775,1386.3921379055332,0.5866366733175098,0.9499868
867,139188326,345.01153390187,-46.4921628572972,7.4029,1325.8792638133204,0.5883807668346452,0.53267175
873,254003502,284.680766995803,-37.1073270147537,4.7254,1656.8868371608496,0.5914568854060654,0.82420397
879,267043786,4.33964083384733,-71.9157913222261,9.742,1325.918113258239,0.5948354918567998,0.78755677
882,31690845,289.129204635457,-31.4078619852351,8.10508,1656.5979249161126,0.5995534770983904,0.7079482
883,407147727,234.988963439803,-82.86439936352,9.0206,1625.432595610712,0.5996011419373573,0.5962594
886,117925262,71.3948530288995,-17.3171422989093,8.6923,1438.4418591122296,0.6012888982509382,0.507812
887,197760286,331.507333267959,-37.2851605373581,9.5841,1325.394057130192,0.601304237491205,0.45593876
900,135244338,186.158228481596,-40.2311951398808,8.3355,1571.370453724032,0.6149767005536696,0.96250665
901,49547177,95.2350415885625,-29.6708653710445,6.7178,1468.3585122987165,0.6169876094643915,0.7681682
902,125958765,256.896473334374,-46.6796828494157,6.6063,1627.6981282634922,0.6173581501360005,1.0250237
